keys,es,ru,pt,de,jp,fr,pl
stoppin by your place yknow?,"¿Pasando por tu casa, sabes?","Заскочил к тебе, знаешь?","Vou dar uma passadinha na sua casa, sabe?","Ich schau mal bei dir vorbei, weißt du?",ちょっと君の家に立ち寄るよ。,"Je passerais chez toi, tu sais ?","wpadam do ciebie, wiesz?"
I DONT LIVE AT A FAT HOTEL YOU LIVE AT FAT HOTELS YOUVE PROBLY BEEN TO EVERY FAT F*** HOTEL ON EARTH,"YO NO VIVO EN UN HOTEL DE GORDOS, TÚ VIVES EN HOTELES DE GORDOS, PROBABLEMENTE HAS ESTADO EN TODOS LOS HOTELES DE GORDOS DEL MUNDO.","Я не живу в отеле для толстяков, это вы живете в отелях для толстяков. Вы, наверное, побывали во всех чертовых отелях для толстяков на земле.","Eu não moro em um hotel para gordos, você mora em hotéis para gordos. Você provavelmente já esteve em todos os hotéis para gordos do mundo.","ICH WOHNE NICHT IN EINEM FETTEN HOTEL, DU WOHNST IN FETTEN HOTELS, DU WARST WAHRSCHEINLICH SCHON IN JEDEM FETTEN HOTEL DER WELT",私はデブホテルに住んでない、デブホテルに住んでるのはあなただ、あなたはきっと地球上のすべてのデブホテルに行ったことがあるんだろう,"JE NE VIS PAS DANS UN HÔTEL POUR GROS, C'EST VOUS QUI VIVEZ DANS DES HÔTELS POUR GROS, VOUS AVEZ PROBABLEMENT FAIT LE TOUR DE TOUS LES HÔTELS POUR GROS DE LA TERRE",NIE MIESZKAM W GRUBYM HOTELU. TY MIESZKASZ W GRUBYCH HOTELACH. PRAWDOPODOBNIE BYŁEŚ W KAŻDYM GRUBYM HOTELU NA ŚWIECIE.
YOU BREATH FATLY DID YOU KNOW THAT YOU BREATH FATLY I CAN SMELL YOUR FATNESS FROM ACROSS THE MAP,RESPIRAS GRASO ¿SABÍAS QUE RESPIRAS GRASO? PUEDO OLER TU GORDE DESDE EL OTRO LADO DEL MAPA,"Ты дышишь жиром, ты знаешь, что дышишь жиром? Я чувствую запах твоей жирности издалека.","Você tem um hálito pesado, sabia? Eu consigo sentir o cheiro da sua gordura do outro lado do mapa.","Du atmest fett. Wusstest du, dass du fett atmest? Ich kann deine Fettleibigkeit von der anderen Seite der Karte riechen.",君は太った息を吐いている。君が太った息を吐いているって知ってた？地図の向こう側からでも君の太った匂いがするよ。,Tu respires grassement. Savais-tu que tu respires grassement ? Je peux sentir ta graisse de l'autre côté de la carte.,"ODDYCHASZ GŁUPOTO CZY WIESZ, ŻE ODDYCHASZ GŁUPOTOTO? CZUJĘ TWOJĄ GŁUPOTĘ Z CAŁEJ MAPY"
YOU HAVE GRAVITATIONAL FATNESS YOU HAVE FOUR FAT SEASONS YOU ORBIT A FAT SUN FAT F*** PLANET F***,TIENES GRASA GRAVITACIONAL TIENES CUATRO ESTACIONES DE GRASA ORBITAS UN SOL GORDO GORDO F*** PLANETA F***,"У тебя гравитационная полнота, у тебя четыре времени года, когда ты толстеешь, ты вращаешься вокруг толстого солнца, жирная планета, блин, блин!",VOCÊ TEM GORDURA GRAVITACIONAL VOCÊ TEM QUATRO ESTAÇÕES GORDAS VOCÊ ORBILA UM SOL GORDO PLANETA GORDO F*** F***,"DU BIST DURCH DIE GRAVITATION FETT, DU HAST VIER FETT-JAHREZEITEN, DU UMKREIST EINE FETTE SONNE, FETTER PLANET, FETTER PLANET",重力による肥満、四季の肥満、太った太陽の周りを公転、太ったクソ惑星、クソ,"TU AS UNE GRAISSE GRAVITATIONNELLE, TU AS QUATRE SAISONS GRASSES, TU ORBITES AUTOUR D'UN GROS SOLEIL, GROSSE PLANÈTE, PUTAIN DE PLANÈTE, PUTAIN DE PLANÈTE","MASZ GRAWITACJĘ, MASZ CZTERY GRUBE PORY ROKU, ORBITUJESZ WOKÓŁ GRUBE SŁOŃCA, GRUBE K***A, PLANETĘ K***A"
F***ING S*** YOU F*** A** B**** NO F***ING HUMAN COULD F***ING DREAM OF BEING AS H U M O N G U S AS YOU FAT A** FAT B*** A** FAT,"¡JODIDA MIERDA, MALDITA PERRA! NINGÚN MALDITO HUMANO PODRÍA SOÑAR CON SER TAN HUMANO COMO TÚ, GORDA, GORDA, MALDITA PERRA.","Ебаная дрянь, ты, ебаная сука! Ни один ебаный человек не мог бы и мечтать быть таким же огромным, как ты, жирная сука!","SEU FILHO DA PUTA, SEU FILHO DA PUTA! NENHUM SER HUMANO PODERIA SONHAR EM SER TÃO GORDO QUANTO VOCÊ, SEU GORDO, SEU FILHO DA PUTA!","Verdammte Scheiße, du verdammte Schlampe! Kein Mensch könnte sich vorstellen, so menschlich zu sein wie du, du fette Schlampe!",クソッ、このクソ野郎、このデブ野郎、デブ野郎、デブ野郎、デブ野郎、人間がお前みたいに巨大になることなんて夢にも思わないよ,"PUTAIN DE SALOPE, ESPÈCE DE CONNASSE ! AUCUN HUMAIN NE POURRAIT RÊVER D'ÊTRE AUSSI HUMAIN QUE TOI, GROSSE CONNASSE !","K***A, TY K***A, K***A, KU**A, ŻADEN K***A CZŁOWIEK NIE MOŻE K***A MARZYĆ O BYCIU TAKIM CZŁOWIEKIEM JAK TY GRUBA KU**A, GRUBA KU**A, GRUBA"
FAT TUBBY LARDY CHUBBY BLUBBERY CHUNKY MONKEY ROUND F*** YOU MAKE EAR SHATTERING SOUND WHEN YOU WALK HEAD A*** B****,GORDO RELLENITO REGULADO MONO REDONDO F*** HACES UN SONIDO ENSORPRENDENTE CUANDO CAMINAS CABEZA A*** P****,"Толстый, пухлый, сочный, тугой, толстый, коренастый, обезьяна, круглый, блядь, ты издаешь оглушительный звук, когда ходишь, тупой, ебаный, ебаный","GORDO, CHEINHO, RECHEADO, GORDINHO, CHEINHO, MACACO REDONDO, FODA-SE, VOCÊ FAZ UM SOM ENSURDECEDOR QUANDO ANDA, SEU IDIOTA!","DICKER, PULSIGER, SCHLANKER, PUMPIGER, SPECKIGER, KNOCHENHAFTER AFFE, RUND, F*** DU MACHST EIN OHRENSCHÜTZENDES GERÄUSCH, WENN DU GEHST, KOPF, A***, SCHLAMPE",太ったデブ、ぽっちゃり、ずんぐりむっくり、丸々とした猿、歩くと耳が痛くなるような音を立てる、頭の悪いビッチ,GROS GROS GROS GROS GROS GROS GROS SINGE ROND TU FAIS UN BRUIT ASSOURDISSANT QUAND TU MARCHES TÊTE DE CON,"GRUBY, GRUBSZY, DUŻY, PULSYWNY, OBRUŚNY, OBRUŚNY, MAŁPA, OKRĄGŁY, KURWA, WYDAJESZ DŹWIĘK ROZTRZASKAJĄCY USZ, GŁOWA, DUPA, SUKA"
HOLY F*** MY HEART,¡SANTA MIERDA MI CORAZÓN!,"ЧЁРТ ВОЗЬМИ, МОЁ СЕРДЦЕ","PUTA QUE PARIU, MEU CORAÇÃO","HEILIGE SCHEISSE, MEIN HERZ",なんてこった、心臓が！,PUTAIN DE MERDE MON CŒUR,"O cholera, moje serce"
*death*,*muerte*,*смерть*,*morte*,*Tod*,*死*,*la mort*,*śmierć*
what a dumb fountain,¡Qué fuente tan tonta!,Какой же глупый фонтан!,Que fonte idiota,Was für ein blöder Brunnen!,なんて愚かな噴水だ,Quelle fontaine stupide,jaka głupia fontanna
probly cuz you're fat,probablemente porque estás gordo,"Вероятно, потому что ты толстый.",Provavelmente porque você é gordo(a).,"Vermutlich, weil du dick bist.",多分、君が太ってるからだよ,Probablement parce que tu es gros,"prawdopodobnie dlatego, że jesteś gruby"
GYEAH,SÍ,ДААА,É isso aí!,GYEAH,ギャー,OUAIS,GYEAH
YOU'RE A DUMB FOUNTAIN AEAEAEAEEAAAAHAHAGAGAGAAAAA,ERES UNA FUENTE TONTA AEAEAEAEEAAAAHAHAGAGAGAAAAA,ТЫ ТУПОЙ ФОНТАН АЭ ...,VOCÊ É UMA FONTE IDIOTA AEAEAEAEEAAAAHAHAGAGAGAAAAA,DU BIST EIN DUMMER BRUNNEN AEAEAEAEEAAAAHAHAGAGAGAAAAA,お前はバカな噴水だ AEAEAEAEEAAAAHAHAGAGAGAAAAA,TU ES UNE FONDUE STUPIDE AEAEAEAEEAAAAHAHAGAGAGAAAAA,JESTEŚ GŁUPIĄ FONTANNĄ AEAEAEAEEAAAAHAHAGAGAGAAAAA
GYEAH,SÍ,ДААА,É isso aí!,GYEAH,ギャー,OUAIS,GYEAH
"don't eat the gloop fat man, I heard it's letha-","No te comas esa masa pegajosa, hombre gordo, he oído que es letal.","Не ешь эту липкую массу, толстяк, я слышал, она смертельна!","Não coma essa gosma, gordo! Ouvi dizer que é letal.","Iss den Schleim nicht, du Dickerchen, ich hab gehört, der ist tödlich!",太った男、あのドロドロしたものは食べちゃダメだ、致命的だって聞いたぞ。,"Ne mange pas cette bouillie, gros bonhomme, j'ai entendu dire qu'elle est mortelle.","nie jedz tego kleiku grubasie, słyszałem, że jest śmiertelny"
eat the gloop girth king,come el lodo rey de la circunferencia,"съешьте эту липкую массу, король обхвата",coma o rei da circunferência gosmenta,Iss den Schleim-Umfangskönig,粘液の太さの王を食べる,mange le roi de la circonférence gluante,"zjedz gluta, król obwodu"
"because I don't f***ing like you, go, now, eat the fucking gloop gyeah","Porque no me gustas, vete, ahora, cómete esa maldita masa pegajosa, sí.","Потому что ты мне, блять, не нравишься, иди, ну и съешь эту ебаную жижу, да","Porque eu não gosto de você, então vai, agora, come essa gosma, é isso aí!","Weil ich dich verdammt nochmal nicht mag, geh jetzt und iss den verdammten Schleim, ja?",だって俺はお前なんか大嫌いなんだから、さあ、行って、あのドロドロの液体を食えよ、イェー,"Parce que je ne t'aime pas, putain, vas-y, mange cette putain de bouillie !","bo cię kurwa nie lubię, idź już i zjedz tę pieprzoną glutę, dziewczyno"
"you did, by being as fat as you are in the same vicinity as me.","Lo hiciste, al estar tan gordo como estás en la misma zona que yo.","Да, это так, потому что ты такой толстый и находишься рядом со мной.","Você conseguiu, por ser tão gordo quanto você e estar na mesma região que eu.","Das hast du getan, indem du so fett bist wie du und dich in meiner Nähe aufhältst.",あなたは、私と同じくらい太っていることで、それを成し遂げたのです。,"Tu l'as fait, en étant aussi grosse que toi et à proximité de moi.","zrobiłeś to, będąc tak grubym i będąc w pobliżu mnie."
"actually, you're always in the same vicinity as me.","En realidad, siempre estás cerca de mí.","На самом деле, ты всегда находишься рядом со мной.","Na verdade, você está sempre por perto, assim como eu.",Tatsächlich befindest du dich immer in der gleichen Nähe wie ich.,実際、あなたはいつも私と同じ場所にいるんです。,"En fait, tu es toujours dans les environs de moi.","Tak naprawdę, zawsze jesteś w tej samej okolicy co ja."
"BECAUSE YOUR A FOOD HOARDING MONSTER, IF YOU DIED WORLD HUNGER WOULD CEASE TO EXIST, YOU'RE THE REASON FOR THE GREAT FAMINE YOU CHUNKY PIECE OF S***, JESUS ONLY HAS HIS FASTING RECORD BECAUSE HE COULDN'T FIND ANY FOOD THAT WASN'T ALREADY CLOGGING YOUR OBESE ARTERIES, INFLATING YOUR HEART OR STUCK IN THAT VORTEX YOU CALL A THROAT, NOW EAT THE F***ING GLOOP gyeah","Porque eres un monstruo acaparador de comida, si te murieras el hambre en el mundo dejaría de existir, eres la razón de la gran hambruna, pedazo de mierda gordo, Jesús solo tiene su récord de ayuno porque no pudo encontrar comida que no estuviera ya obstruyendo tus arterias obesas, inflando tu corazón o atascada en ese vórtice que llamas garganta, ahora cómete esa maldita papilla, sí.","Потому что ты монстр, запасающий еду, если бы ты умер, мировой голод прекратил бы существовать. Ты причина великого голода, ты, толстый кусок дерьма. У Иисуса есть записи о постах только потому, что он не смог найти никакой еды, которая не забивала бы твои тучные артерии, не раздувала сердце или не застревала в этом вихре, который ты называешь горлом. А теперь съешь эту чёртову жижу!","Porque você é um monstro acumulador de comida, se você morresse, a fome no mundo deixaria de existir. Você é o motivo da Grande Fome, seu pedaço de merda gordo. Jesus só tem o recorde de jejum porque não conseguia encontrar comida que não estivesse entupindo suas artérias obesas, inflando seu coração ou preso naquele vórtice que você chama de garganta. Agora coma essa porcaria de gosma!","Weil du ein gieriges Monster bist, würde der Welthunger aufhören zu existieren, wenn du stürbst. Du bist der Grund für die große Hungersnot, du fettes Stück Scheiße. Jesus hat seinen Fastenrekord nur, weil er kein Essen finden konnte, das nicht schon deine fetten Arterien verstopfte, dein Herz aufblähte oder in diesem Strudel feststeckte, den du Kehle nennst. Jetzt friss endlich den verdammten Schleim!",お前は食料を買いだめする怪物だから、お前が死んだら世界の飢餓はなくなるんだ。お前が大飢饉の原因だ、このデブのクソ野郎。イエスが断食の記録を持っているのは、お前の肥満した動脈を詰まらせたり、心臓を膨張させたり、喉と呼ぶ渦に詰まったりしていない食べ物が見つからなかったからだ。さあ、そのドロドロしたものを食べろ、イェー。,"Parce que tu es un monstre qui thésaurise la nourriture, si tu mourais, la faim dans le monde cesserait d'exister, tu es la cause de la grande famine, espèce de gros tas de merde, Jésus n'a ses records de jeûne que parce qu'il ne trouvait pas de nourriture qui ne bouchait pas déjà tes artères obèses, qui ne gonflait pas ton cœur ou qui ne restait pas coincée dans ce vortex que tu appelles une gorge, maintenant mange cette putain de bouillie gyeah","BO JESTEŚ POTWOREM GROMADZĄCYM ŻYWNOŚĆ. GDYBYŚ UMARŁ, GŁÓD NA ŚWIECIE PRZESTAŁBY ISTNIEĆ, JESTEŚ POWODEM WIELKIEGO GŁODU, TY GRUBY KAWAŁKU GÓWNA. JEZUS MA SWÓJ REJESTR POSTÓW TYLKO DLATEGO, ŻE NIE MÓGŁ ZNALEŹĆ ŻADNEGO JEDZENIA, KTÓRE NIE ZATYKAŁOBY TWOICH OTYŁYCH TĘTNIC, NIE ROZPYLAŁO TWOJEGO SERCA LUB NIE UTkwiło W TYM WIRZE, KTÓRY NAZYWASZ GARDĄ. TERAZ ZJEDZ TĘ PIEPRZONĄ GLUPOTĘ, Gyeah"
GYEAH,SÍ,ДААА,É isso aí!,GYEAH,ギャー,OUAIS,GYEAH
yeah I'm stealing one and bombing your house,"Sí, voy a robar uno y bombardear tu casa.","Да, я украду один и взорву твой дом.","Sim, vou roubar uma e bombardear sua casa.","Ja, ich klaue eins und bombardiere dein Haus.",ああ、一つ盗んで、お前の家を爆撃してやる,"Ouais, j'en vole une et je fais sauter ta maison","tak, ukradnę jeden i zbombarduję twój dom"
uhhh you live at the fat hotel chubby cheeks,uhhh vives en el hotel gordo mejillas regordetas,"Эээ, ты живёшь в отеле для толстяков с пухлыми щеками?","Uhhh, você mora no hotel dos gordos, bochechas rechonchudas.","Ähm, du wohnst im Hotel für Dicke, Pausbäckchen?",えーっと、あなたはぽっちゃりした頬の太ったホテルに住んでいます,"Euh, tu habites à l'hôtel des gros, joues potelées ?",uhhh mieszkasz w grubym hotelu pulchne policzki
"I DON'T LIVE AT THE FAT HOTEL YOU LARDASS F***ING WHALE, YOU'VE CUT AT LEAST 20 YEARS OFF YOUR LIFE BECAUSE OF HOW DISGUSTING OF A F***ING GOURMAND GIRTHY GLUTTON GERD BOY YOU ARE, MORE PEOPLE DIE CLIMBING YOUR BEHEMOTH ASS YEARLY THAN EVEREST, I'LL KEEP BOMBING FAT HOTELS UNTIL I RID THE WORLD OF YOUR PLANETARY GIRTH gyeah","NO VIVO EN EL HOTEL DE LOS GORDOS, MALDITA BALLENA DE MIERDA, TE HAS QUITADO AL MENOS 20 AÑOS DE VIDA POR LO ASQUEROSO Y GLOTONERO QUE ERES, MÁS GENTE MUERE ESCAPANDO TU GORDO CADA AÑO QUE EL EVEREST, SEGUIRÉ BOMBARDEANDO HOTELES DE GORDOS HASTA LIBERAR AL MUNDO DE TU GORDA PLANETARIA, sí.","Я не живу в этом жирном отеле, ты, жирный, чёртов кит! Ты сократил свою жизнь как минимум на 20 лет из-за того, какой ты отвратительный, толстый, обжорливый, страдающий ГЭРБ-мальчик! Каждый год больше людей умирают, залезая на твою гигантскую задницу, чем на Эвересте! Я буду продолжать бомбить жирные отели, пока не избавлю мир от твоей планетарной толщины!","Eu não moro no Hotel dos Gordos, seu gordo desgraçado! Você cortou pelo menos 20 anos da sua vida por ser um glutão nojento e guloso como você é. Mais pessoas morrem escalando sua bunda enorme todo ano do que no Everest. Vou continuar bombardeando hotéis de gordos até livrar o mundo da sua circunferência planetária!","Ich wohne nicht im Fetthotel, du fetter, verdammter Wal! Du hast dir mindestens 20 Jahre deines Lebens versaut, weil du so ein widerlicher, fetter, gieriger Fresser bist! Mehr Menschen sterben jedes Jahr beim Erklimmen deines riesigen Arschs als am Mount Everest! Ich werde weiterhin Fetthotels bombardieren, bis ich die Welt von deinem planetarischen Fett befreit habe!",俺はデブホテルに住んでないぜ、このデブ野郎！お前は最低でも20年は寿命を縮めてるんだ、この気持ち悪い大食漢で太った大食漢野郎め！毎年エベレスト登頂よりも多くの人がお前の巨大なケツに登って死んでるんだぞ！お前の惑星級の太さを世界から消し去るまで、デブホテルを爆撃し続けるぜ！,"JE NE VIS PAS DANS CET HÔTEL POUR GROS, ESPÈCE DE GROS CUL DE BALEINE ! TU AS DÉPASSÉ AU MOINS 20 ANS DE TA VIE À CAUSE DE TON ÊTRE DE GOURMAND GROS ET DÉGOÛTANT ! PLUS DE GENS MEURENT EN ESCALADANT TON CUL DE GÉANT CHAQUE ANNÉE qu'EN GRIMPANT L'EVEREST ! JE CONTINUERAI À BOMBARDER LES HÔTELS POUR GROS JUSQU'À CE QUE LE MONDE SOIT DÉBARRASSÉ DE TA GROSSE CROÛTE !","NIE MIESZKAM W TŁUSTYM HOTELU, TY PIEPRZONY WIELORYBIE, SKRÓCIŁEŚ SOBIE ŻYCIE O CO NAJMNIEJ 20 LAT, PONIEWAŻ JESTEŚ TAK Obrzydliwym, PIEPRZONYM SMAKOSZEM, GRUBYM ŻARŁOKIEM, CHŁOPAKIEM Z CHOROBĄ GERD, WIĘCEJ LUDZI GINIE WSPINAJĄC SIĘ NA TWOJĄ WIELKĄ DUPĘ ROCZNIE NIŻ NA EVEREST, BĘDĘ DALEJ BOMBARDOWAŁ GRUBE HOTELE, AŻ DOPÓKI NIE OCZYSZCZĘ ŚWIATA Z TWOJEGO PLANETARNEGO OBWODU, gyeah"
